Sale ID,Date,Shop,Product,Quantity,Unit price
S000000046,2021-01-19,shop_6,BED_46,2.0,300.0
S000000047,2021-01-18,shop_7,BED_47,1.0,395.0
S000000048,2021-01-17,shop_8,BED_48,1.0,440.0
S000000049,2021-01-16,shop_9,TSH_49,1.0,20.0
S000000050,2021-01-15,shop_10,TSH_50,4.0,20.0
S000000051,2021-01-14,shop_11,TSH_51,1.0,22.0
S000000052,2021-01-13,shop_12,TSH_52,1.0,24.0
S000000053,2021-01-12,shop_13,TSH_53,1.0,24.0
S000000054,2021-01-11,shop_14,HOO_54,2.0,45.0
S000000055,2021-01-10,shop_15,HOO_55,1.0,48.0
S000000056,2021-01-09,shop_16,HOO_56,3.0,49.0
S000000057,2021-01-08,shop_17,SHO_57,1.0,60.0
S000000058,2021-01-07,shop_18,SHO_58,2.0,60.0
S000000059,2021-01-06,shop_19,SHO_59,2.0,60.0
S000000060,2021-02-04,shop_20,SHO_60,1.0,60.0
S000000061,2021-02-03,shop_21,TAB_0,1.0,210.0
S000000062,2021-02-02,shop_22,TAB_1,1.0,300.0
S000000063,2021-02-01,shop_23,CHA_2,4.0,60.0
S000000064,2021-01-31,shop_24,BED_3,1.0,150.0
S000000065,2021-01-30,shop_25,BED_4,1.0,300.0
S000000066,2021-01-29,shop_26,BED_5,1.0,395.0
S000000067,2021-01-28,shop_27,BED_6,2.0,440.0
S000000068,2021-01-27,shop_28,TSH_7,1.0,20.0
S000000069,2021-01-26,shop_29,TSH_8,3.0,20.0
S000000070,2021-01-25,shop_30,TSH_9,1.0,22.0
S000000071,2021-01-24,shop_31,TSH_10,2.0,24.0
S000000072,2021-01-23,shop_32,TSH_11,2.0,24.0
S000000073,2021-01-22,shop_33,HOO_12,1.0,45.0
S000000074,2021-01-21,shop_34,HOO_13,1.0,48.0
S000000075,2021-01-20,shop_35,HOO_14,1.0,49.0
S000000076,2021-01-19,shop_36,SHO_15,4.0,60.0
S000000077,2021-01-18,shop_37,SHO_16,1.0,60.0
S000000078,2021-01-17,shop_38,SHO_17,1.0,60.0
S000000079,2021-01-16,shop_39,SHO_18,1.0,60.0
S000000080,2021-01-15,shop_0,SHO_19,2.0,60.0
S000000081,2021-01-14,shop_1,SHO_20,1.0,60.0
S000000082,2021-01-13,shop_2,TAB_21,3.0,210.0
S000000083,2021-01-12,shop_3,TAB_22,1.0,300.0
S000000084,2021-01-11,shop_4,CHA_23,2.0,60.0
S000000085,2021-01-10,shop_5,BED_24,2.0,150.0
S000000086,2021-01-09,shop_6,BED_25,1.0,300.0
S000000087,2021-01-08,shop_7,BED_26,1.0,395.0
S000000088,2021-01-07,shop_8,BED_27,1.0,440.0
S000000089,2021-01-06,shop_9,TSH_28,4.0,20.0
S000000090,2021-02-04,shop_10,TSH_29,1.0,20.0
S000000091,2021-02-03,shop_11,TSH_30,1.0,22.0
S000000092,2021-02-02,shop_12,TSH_31,1.0,24.0
S000000093,2021-02-01,shop_13,TSH_32,2.0,24.0
S000000094,2021-01-31,shop_14,HOO_33,1.0,45.0
S000000095,2021-01-30,shop_15,HOO_34,3.0,48.0
S000000096,2021-01-29,shop_16,HOO_35,1.0,49.0
S000000097,2021-01-28,shop_17,SHO_36,2.0,60.0
S000000098,2021-01-27,shop_18,SHO_37,2.0,60.0
S000000099,2021-01-26,shop_19,SHO_38,1.0,60.0
S000000100,2021-01-25,shop_20,SHO_39,1.0,60.0
S000000101,2021-01-24,shop_21,SHO_40,1.0,60.0
S000000102,2021-01-23,shop_22,SHO_41,4.0,60.0
S000000103,2021-01-22,shop_23,TAB_42,1.0,210.0
S000000104,2021-01-21,shop_24,TAB_43,1.0,300.0
S000000105,2021-01-20,shop_25,CHA_44,1.0,60.0
S000000106,2021-01-19,shop_26,BED_45,2.0,150.0
S000000107,2021-01-18,shop_27,BED_46,1.0,300.0
S000000108,2021-01-17,shop_28,BED_47,3.0,395.0
S000000109,2021-01-16,shop_29,BED_48,1.0,440.0
S000000110,2021-01-15,shop_30,TSH_49,2.0,20.0
S000000111,2021-01-14,shop_31,TSH_50,2.0,20.0
S000000112,2021-01-13,shop_32,TSH_51,1.0,22.0
S000000113,2021-01-12,shop_33,TSH_52,1.0,24.0
S000000114,2021-01-11,shop_34,TSH_53,1.0,24.0
S000000115,2021-01-10,shop_35,HOO_54,4.0,45.0
S000000116,2021-01-09,shop_36,HOO_55,1.0,48.0
S000000117,2021-01-08,shop_37,HOO_56,1.0,49.0
S000000118,2021-01-07,shop_38,SHO_57,1.0,60.0
S000000119,2021-01-06,shop_39,SHO_58,2.0,60.0
S000000120,2021-02-04,shop_0,SHO_59,1.0,60.0
S000000121,2021-02-03,shop_1,SHO_60,3.0,60.0
S000000122,2021-02-02,shop_2,TAB_0,1.0,210.0
S000000123,2021-02-01,shop_3,TAB_1,2.0,300.0
S000000124,2021-01-31,shop_4,CHA_2,2.0,60.0
S000000125,2021-01-30,shop_5,BED_3,1.0,150.0
S000000126,2021-01-29,shop_6,BED_4,1.0,300.0
S000000127,2021-01-28,shop_7,BED_5,1.0,395.0
S000000128,2021-01-27,shop_8,BED_6,4.0,440.0
S000000129,2021-01-26,shop_9,TSH_7,1.0,20.0
S000000130,2021-01-25,shop_10,TSH_8,1.0,20.0
S000000131,2021-01-24,shop_11,TSH_9,1.0,22.0
S000000132,2021-01-23,shop_12,TSH_10,2.0,24.0
S000000133,2021-01-22,shop_13,TSH_11,1.0,24.0
S000000134,2021-01-21,shop_14,HOO_12,3.0,45.0
S000000135,2021-01-20,shop_15,HOO_13,1.0,48.0
S000000136,2021-01-19,shop_16,HOO_14,2.0,49.0
S000000137,2021-01-18,shop_17,SHO_15,2.0,60.0
S000000138,2021-01-17,shop_18,SHO_16,1.0,60.0
S000000139,2021-01-16,shop_19,SHO_17,1.0,60.0
S000000140,2021-01-15,shop_20,SHO_18,1.0,60.0
S000000141,2021-01-14,shop_21,SHO_19,4.0,60.0
S000000142,2021-01-13,shop_22,SHO_20,1.0,60.0
S000000143,2021-01-12,shop_23,TAB_21,1.0,210.0
S000000144,2021-01-11,shop_24,TAB_22,1.0,300.0
S000000145,2021-01-10,shop_25,CHA_23,2.0,60.0
S000000146,2021-01-09,shop_26,BED_24,1.0,150.0
S000000147,2021-01-08,shop_27,BED_25,3.0,300.0
S000000148,2021-01-07,shop_28,BED_26,1.0,395.0
S000000149,2021-01-06,shop_29,BED_27,2.0,440.0
S000000150,2021-02-04,shop_30,TSH_28,2.0,20.0
S000000151,2021-02-03,shop_31,TSH_29,1.0,20.0
S000000152,2021-02-02,shop_32,TSH_30,1.0,22.0
S000000153,2021-02-01,shop_33,TSH_31,1.0,24.0
S000000154,2021-01-31,shop_34,TSH_32,4.0,24.0
S000000155,2021-01-30,shop_35,HOO_33,1.0,45.0
S000000156,2021-01-29,shop_36,HOO_34,1.0,48.0
S000000157,2021-01-28,shop_37,HOO_35,1.0,49.0
S000000158,2021-01-27,shop_38,SHO_36,2.0,60.0
S000000159,2021-01-26,shop_39,SHO_37,1.0,60.0
S000000160,2021-01-25,shop_0,SHO_38,3.0,60.0
S000000161,2021-01-24,shop_1,SHO_39,1.0,60.0
S000000162,2021-01-23,shop_2,SHO_40,2.0,60.0
S000000163,2021-01-22,shop_3,SHO_41,2.0,60.0
S000000164,2021-01-21,shop_4,TAB_42,1.0,210.0
S000000165,2021-01-20,shop_5,TAB_43,1.0,300.0
S000000166,2021-01-19,shop_6,CHA_44,1.0,60.0
S000000167,2021-01-18,shop_7,BED_45,4.0,150.0
S000000168,2021-01-17,shop_8,BED_46,1.0,300.0
S000000169,2021-01-16,shop_9,BED_47,1.0,395.0
S000000170,2021-01-15,shop_10,BED_48,1.0,440.0
S000000171,2021-01-14,shop_11,TSH_49,2.0,20.0
S000000172,2021-01-13,shop_12,TSH_50,1.0,20.0
S000000173,2021-01-12,shop_13,TSH_51,3.0,22.0
S000000174,2021-01-11,shop_14,TSH_52,1.0,24.0
S000000175,2021-01-10,shop_15,TSH_53,2.0,24.0
S000000176,2021-01-09,shop_16,HOO_54,2.0,45.0
S000000177,2021-01-08,shop_17,HOO_55,1.0,48.0
S000000178,2021-01-07,shop_18,HOO_56,1.0,49.0
S000000179,2021-01-06,shop_19,SHO_57,1.0,60.0
S000000180,2021-02-04,shop_20,SHO_58,4.0,60.0
S000000181,2021-02-03,shop_21,SHO_59,1.0,60.0
S000000182,2021-02-02,shop_22,SHO_60,1.0,60.0
S000000183,2021-02-01,shop_23,TAB_0,1.0,210.0
S000000184,2021-01-31,shop_24,TAB_1,2.0,300.0
S000000185,2021-01-30,shop_25,CHA_2,1.0,60.0
S000000186,2021-01-29,shop_26,BED_3,3.0,150.0
S000000187,2021-01-28,shop_27,BED_4,1.0,300.0
S000000188,2021-01-27,shop_28,BED_5,2.0,395.0
S000000189,2021-01-26,shop_29,BED_6,2.0,440.0
S000000190,2021-01-25,shop_30,TSH_7,1.0,20.0
S000000191,2021-01-24,shop_31,TSH_8,1.0,20.0
S000000192,2021-01-23,shop_32,TSH_9,1.0,22.0
S000000193,2021-01-22,shop_33,TSH_10,4.0,24.0
S000000194,2021-01-21,shop_34,TSH_11,1.0,24.0
S000000195,2021-01-20,shop_35,HOO_12,1.0,45.0
S000000196,2021-01-19,shop_36,HOO_13,1.0,48.0
S000000197,2021-01-18,shop_37,HOO_14,2.0,49.0
S000000198,2021-01-17,shop_38,SHO_15,1.0,60.0
S000000199,2021-01-16,shop_39,SHO_16,3.0,60.0
S000000200,2021-01-15,shop_0,SHO_17,1.0,60.0
S000000201,2021-01-14,shop_1,SHO_18,2.0,60.0
S000000202,2021-01-13,shop_2,SHO_19,2.0,60.0
S000000203,2021-01-12,shop_3,SHO_20,1.0,60.0
S000000204,2021-01-11,shop_4,TAB_21,1.0,210.0
S000000205,2021-01-10,shop_5,TAB_22,1.0,300.0
S000000206,2021-01-09,shop_6,CHA_23,4.0,60.0
S000000207,2021-01-08,shop_7,BED_24,1.0,150.0
S000000208,2021-01-07,shop_8,BED_25,1.0,300.0
S000000209,2021-01-06,shop_9,BED_26,1.0,395.0
S000000210,2021-02-04,shop_10,BED_27,2.0,440.0
S000000211,2021-02-03,shop_11,TSH_28,1.0,20.0
S000000212,2021-02-02,shop_12,TSH_29,3.0,20.0
S000000213,2021-02-01,shop_13,TSH_30,1.0,22.0
S000000214,2021-01-31,shop_14,TSH_31,2.0,24.0
S000000215,2021-01-30,shop_15,TSH_32,2.0,24.0
S000000216,2021-01-29,shop_16,HOO_33,1.0,45.0
S000000217,2021-01-28,shop_17,HOO_34,1.0,48.0
S000000218,2021-01-27,shop_18,HOO_35,1.0,49.0
S000000219,2021-01-26,shop_19,SHO_36,4.0,60.0
S000000220,2021-01-25,shop_20,SHO_37,1.0,60.0
S000000221,2021-01-24,shop_21,SHO_38,1.0,60.0
S000000222,2021-01-23,shop_22,SHO_39,1.0,60.0
S000000223,2021-01-22,shop_23,SHO_40,2.0,60.0
S000000224,2021-01-21,shop_24,SHO_41,1.0,60.0
S000000225,2021-01-20,shop_25,TAB_42,3.0,210.0
S000000226,2021-01-19,shop_26,TAB_43,1.0,300.0
S000000227,2021-01-18,shop_27,CHA_44,2.0,60.0
S000000228,2021-01-17,shop_28,BED_45,2.0,150.0
S000000229,2021-01-16,shop_29,BED_46,1.0,300.0
S000000230,2021-01-15,shop_30,BED_47,1.0,395.0
S000000231,2021-01-14,shop_31,BED_48,1.0,440.0
S000000232,2021-01-13,shop_32,TSH_49,4.0,20.0
S000000233,2021-01-12,shop_33,TSH_50,1.0,20.0
S000000234,2021-01-11,shop_34,TSH_51,1.0,22.0
S000000235,2021-01-10,shop_35,TSH_52,1.0,24.0
S000000236,2021-01-09,shop_36,TSH_53,2.0,24.0
S000000237,2021-01-08,shop_37,HOO_54,1.0,45.0
S000000238,2021-01-07,shop_38,HOO_55,3.0,48.0
S000000239,2021-01-06,shop_39,HOO_56,1.0,49.0
S000000240,2021-02-04,shop_0,SHO_57,2.0,60.0
S000000241,2021-02-03,shop_1,SHO_58,2.0,60.0
S000000242,2021-02-02,shop_2,SHO_59,1.0,60.0
S000000243,2021-02-01,shop_3,SHO_60,1.0,60.0
S000000244,2021-01-31,shop_4,TAB_0,1.0,210.0
S000000245,2021-01-30,shop_5,TAB_1,4.0,300.0
S000000246,2021-01-29,shop_6,CHA_2,1.0,60.0
S000000247,2021-01-28,shop_7,BED_3,1.0,150.0
S000000248,2021-01-27,shop_8,BED_4,1.0,300.0
S000000249,2021-01-26,shop_9,BED_5,2.0,395.0
S000000250,2021-01-25,shop_10,BED_6,1.0,440.0
S000000251,2021-01-24,shop_11,TSH_7,3.0,20.0
S000000252,2021-01-23,shop_12,TSH_8,1.0,20.0
S000000253,2021-01-22,shop_13,TSH_9,2.0,22.0
S000000254,2021-01-21,shop_14,TSH_10,2.0,24.0
S000000255,2021-01-20,shop_15,TSH_11,1.0,24.0
S000000256,2021-01-19,shop_16,HOO_12,1.0,45.0
S000000257,2021-01-18,shop_17,HOO_13,1.0,48.0
S000000258,2021-01-17,shop_18,HOO_14,4.0,49.0
S000000259,2021-01-16,shop_19,SHO_15,1.0,60.0
S000000260,2021-01-15,shop_20,SHO_16,1.0,60.0
S000000261,2021-01-14,shop_21,SHO_17,1.0,60.0
S000000262,2021-01-13,shop_22,SHO_18,2.0,60.0
S000000263,2021-01-12,shop_23,SHO_19,1.0,60.0
S000000264,2021-01-11,shop_24,SHO_20,3.0,60.0
S000000265,2021-01-10,shop_25,TAB_21,1.0,210.0
S000000266,2021-01-09,shop_26,TAB_22,2.0,300.0
S000000267,2021-01-08,shop_27,CHA_23,2.0,60.0
S000000268,2021-01-07,shop_28,BED_24,1.0,150.0
S000000269,2021-01-06,shop_29,BED_25,1.0,300.0
S000000270,2021-02-04,shop_30,BED_26,1.0,395.0
S000000271,2021-02-03,shop_31,BED_27,4.0,440.0
S000000272,2021-02-02,shop_32,TSH_28,1.0,20.0
S000000273,2021-02-01,shop_33,TSH_29,1.0,20.0
S000000274,2021-01-31,shop_34,TSH_30,1.0,22.0
S000000275,2021-01-30,shop_35,TSH_31,2.0,24.0
S000000276,2021-01-29,shop_36,TSH_32,1.0,24.0
S000000277,2021-01-28,shop_37,HOO_33,3.0,45.0
S000000278,2021-01-27,shop_38,HOO_34,1.0,48.0
S000000279,2021-01-26,shop_39,HOO_35,2.0,49.0
S000000280,2021-01-25,shop_0,SHO_36,2.0,60.0
S000000281,2021-01-24,shop_1,SHO_37,1.0,60.0
S000000282,2021-01-23,shop_2,SHO_38,1.0,60.0
S000000283,2021-01-22,shop_3,SHO_39,1.0,60.0
S000000284,2021-01-21,shop_4,SHO_40,4.0,60.0
S000000285,2021-01-20,shop_5,SHO_41,1.0,60.0
S000000286,2021-01-19,shop_6,TAB_42,1.0,210.0
S000000287,2021-01-18,shop_7,TAB_43,1.0,300.0
S000000288,2021-01-17,shop_8,CHA_44,2.0,60.0
S000000289,2021-01-16,shop_9,BED_45,1.0,150.0
S000000290,2021-01-15,shop_10,BED_46,3.0,300.0
S000000291,2021-01-14,shop_11,BED_47,1.0,395.0
S000000292,2021-01-13,shop_12,BED_48,2.0,440.0
S000000293,2021-01-12,shop_13,TSH_49,2.0,20.0
S000000294,2021-01-11,shop_14,TSH_50,1.0,20.0
S000000295,2021-01-10,shop_15,TSH_51,1.0,22.0
S000000296,2021-01-09,shop_16,TSH_52,1.0,24.0
S000000297,2021-01-08,shop_17,TSH_53,4.0,24.0
S000000298,2021-01-07,shop_18,HOO_54,1.0,45.0
S000000299,2021-01-06,shop_19,HOO_55,1.0,48.0
S000000300,2021-02-04,shop_20,HOO_56,1.0,49.0
S000000301,2021-02-03,shop_21,SHO_57,2.0,60.0
S000000302,2021-02-02,shop_22,SHO_58,1.0,60.0
S000000303,2021-02-01,shop_23,SHO_59,3.0,60.0
S000000304,2021-01-31,shop_24,SHO_60,1.0,60.0
S000000305,2021-01-30,shop_25,TAB_0,2.0,210.0
S000000306,2021-01-29,shop_26,TAB_1,2.0,300.0
S000000307,2021-01-28,shop_27,CHA_2,1.0,60.0
S000000308,2021-01-27,shop_28,BED_3,1.0,150.0
S000000309,2021-01-26,shop_29,BED_4,1.0,300.0
S000000310,2021-01-25,shop_30,BED_5,4.0,395.0
S000000311,2021-01-24,shop_31,BED_6,1.0,440.0
S000000312,2021-01-23,shop_32,TSH_7,1.0,20.0
S000000313,2021-01-22,shop_33,TSH_8,1.0,20.0
S000000314,2021-01-21,shop_34,TSH_9,2.0,22.0
S000000315,2021-01-20,shop_35,TSH_10,1.0,24.0
S000000316,2021-01-19,shop_36,TSH_11,3.0,24.0
S000000317,2021-01-18,shop_37,HOO_12,1.0,45.0
S000000318,2021-01-17,shop_38,HOO_13,2.0,48.0
S000000319,2021-01-16,shop_39,HOO_14,2.0,49.0
S000000320,2021-01-15,shop_0,SHO_15,1.0,60.0
S000000321,2021-01-14,shop_1,SHO_16,1.0,60.0
S000000322,2021-01-13,shop_2,SHO_17,1.0,60.0
S000000323,2021-01-12,shop_3,SHO_18,4.0,60.0
S000000324,2021-01-11,shop_4,SHO_19,1.0,60.0
S000000325,2021-01-10,shop_5,SHO_20,1.0,60.0
S000000326,2021-01-09,shop_6,TAB_21,1.0,210.0
S000000327,2021-01-08,shop_7,TAB_22,2.0,300.0
S000000328,2021-01-07,shop_8,CHA_23,1.0,60.0
S000000329,2021-01-06,shop_9,BED_24,3.0,150.0
S000000330,2021-02-04,shop_10,BED_25,1.0,300.0
S000000331,2021-02-03,shop_11,BED_26,2.0,395.0
S000000332,2021-02-02,shop_12,BED_27,2.0,440.0
S000000333,2021-02-01,shop_13,TSH_28,1.0,20.0
S000000334,2021-01-31,shop_14,TSH_29,1.0,20.0
S000000335,2021-01-30,shop_15,TSH_30,1.0,22.0
S000000336,2021-01-29,shop_16,TSH_31,4.0,24.0
S000000337,2021-01-28,shop_17,TSH_32,1.0,24.0
S000000338,2021-01-27,shop_18,HOO_33,1.0,45.0
S000000339,2021-01-26,shop_19,HOO_34,1.0,48.0
S000000340,2021-01-25,shop_20,HOO_35,2.0,49.0
S000000341,2021-01-24,shop_21,SHO_36,1.0,60.0
S000000342,2021-01-23,shop_22,SHO_37,3.0,60.0
S000000343,2021-01-22,shop_23,SHO_38,1.0,60.0
S000000344,2021-01-21,shop_24,SHO_39,2.0,60.0
S000000345,2021-01-20,shop_25,SHO_40,2.0,60.0
S000000346,2021-01-19,shop_26,SHO_41,1.0,60.0
S000000347,2021-01-18,shop_27,TAB_42,1.0,210.0
S000000348,2021-01-17,shop_28,TAB_43,1.0,300.0
S000000349,2021-01-16,shop_29,CHA_44,4.0,60.0
S000000350,2021-01-15,shop_30,BED_45,1.0,150.0
S000000351,2021-01-14,shop_31,BED_46,1.0,300.0
S000000352,2021-01-13,shop_32,BED_47,1.0,395.0
S000000353,2021-01-12,shop_33,BED_48,2.0,440.0
S000000354,2021-01-11,shop_34,TSH_49,1.0,20.0
S000000355,2021-01-10,shop_35,TSH_50,3.0,20.0
S000000356,2021-01-09,shop_36,TSH_51,1.0,22.0
S000000357,2021-01-08,shop_37,TSH_52,2.0,24.0
S000000358,2021-01-07,shop_38,TSH_53,2.0,24.0
S000000359,2021-01-06,shop_39,HOO_54,1.0,45.0
S000000360,2021-02-04,shop_0,HOO_55,1.0,48.0
S000000361,2021-02-03,shop_1,HOO_56,1.0,49.0
S000000362,2021-02-02,shop_2,SHO_57,4.0,60.0
S000000363,2021-02-01,shop_3,SHO_58,1.0,60.0
S000000364,2021-01-31,shop_4,SHO_59,1.0,60.0
S000000365,2021-01-30,shop_5,SHO_60,1.0,60.0
S000000366,2021-01-29,shop_6,TAB_0,2.0,210.0
S000000367,2021-01-28,shop_7,TAB_1,1.0,300.0
S000000368,2021-01-27,shop_8,CHA_2,3.0,60.0
S000000369,2021-01-26,shop_9,BED_3,1.0,150.0
S000000370,2021-01-25,shop_10,BED_4,2.0,300.0
S000000371,2021-01-24,shop_11,BED_5,2.0,395.0
S000000372,2021-01-23,shop_12,BED_6,1.0,440.0
S000000373,2021-01-22,shop_13,TSH_7,1.0,20.0
S000000374,2021-01-21,shop_14,TSH_8,1.0,20.0
S000000375,2021-01-20,shop_15,TSH_9,4.0,22.0
S000000376,2021-01-19,shop_16,TSH_10,1.0,24.0
S000000377,2021-01-18,shop_17,TSH_11,1.0,24.0
S000000378,2021-01-17,shop_18,HOO_12,1.0,45.0
S000000379,2021-01-16,shop_19,HOO_13,2.0,48.0
S000000380,2021-01-15,shop_20,HOO_14,1.0,49.0
S000000381,2021-01-14,shop_21,SHO_15,3.0,60.0
S000000382,2021-01-13,shop_22,SHO_16,1.0,60.0
S000000383,2021-01-12,shop_23,SHO_17,2.0,60.0
S000000384,2021-01-11,shop_24,SHO_18,2.0,60.0
S000000385,2021-01-10,shop_25,SHO_19,1.0,60.0
S000000386,2021-01-09,shop_26,SHO_20,1.0,60.0
S000000387,2021-01-08,shop_27,TAB_21,1.0,210.0
S000000388,2021-01-07,shop_28,TAB_22,4.0,300.0
S000000389,2021-01-06,shop_29,CHA_23,1.0,60.0
S000000390,2021-02-04,shop_30,BED_24,1.0,150.0
S000000391,2021-02-03,shop_31,BED_25,1.0,300.0
S000000392,2021-02-02,shop_32,BED_26,2.0,395.0
S000000393,2021-02-01,shop_33,BED_27,1.0,440.0
S000000394,2021-01-31,shop_34,TSH_28,3.0,20.0
S000000395,2021-01-30,shop_35,TSH_29,1.0,20.0
S000000396,2021-01-29,shop_36,TSH_30,2.0,22.0
S000000397,2021-01-28,shop_37,TSH_31,2.0,24.0
S000000398,2021-01-27,shop_38,TSH_32,1.0,24.0
S000000399,2021-01-26,shop_39,HOO_33,1.0,45.0
S000000400,2021-01-25,shop_0,HOO_34,1.0,48.0
S000000401,2021-01-24,shop_1,HOO_35,4.0,49.0
S000000402,2021-01-23,shop_2,SHO_36,1.0,60.0
S000000403,2021-01-22,shop_3,SHO_37,1.0,60.0
S000000404,2021-01-21,shop_4,SHO_38,1.0,60.0
S000000405,2021-01-20,shop_5,SHO_39,2.0,60.0
S000000406,2021-01-19,shop_6,SHO_40,1.0,60.0
S000000407,2021-01-18,shop_7,SHO_41,3.0,60.0
S000000408,2021-01-17,shop_8,TAB_42,1.0,210.0
S000000409,2021-01-16,shop_9,TAB_43,2.0,300.0
S000000410,2021-01-15,shop_10,CHA_44,2.0,60.0
S000000411,2021-01-14,shop_11,BED_45,1.0,150.0
S000000412,2021-01-13,shop_12,BED_46,1.0,300.0
S000000413,2021-01-12,shop_13,BED_47,1.0,395.0
S000000414,2021-01-11,shop_14,BED_48,4.0,440.0
S000000415,2021-01-10,shop_15,TSH_49,1.0,20.0
S000000416,2021-01-09,shop_16,TSH_50,1.0,20.0
S000000417,2021-01-08,shop_17,TSH_51,1.0,22.0
S000000418,2021-01-07,shop_18,TSH_52,2.0,24.0
S000000419,2021-01-06,shop_19,TSH_53,1.0,24.0
S000000420,2021-02-04,shop_20,HOO_54,3.0,45.0
S000000421,2021-02-03,shop_21,HOO_55,1.0,48.0
S000000422,2021-02-02,shop_22,HOO_56,2.0,49.0
S000000423,2021-02-01,shop_23,SHO_57,2.0,60.0
S000000424,2021-01-31,shop_24,SHO_58,1.0,60.0
S000000425,2021-01-30,shop_25,SHO_59,1.0,60.0
S000000426,2021-01-29,shop_26,SHO_60,1.0,60.0
S000000427,2021-01-28,shop_27,TAB_0,4.0,210.0
S000000428,2021-01-27,shop_28,TAB_1,1.0,300.0
S000000429,2021-01-26,shop_29,CHA_2,1.0,60.0
S000000430,2021-01-25,shop_30,BED_3,1.0,150.0
S000000431,2021-01-24,shop_31,BED_4,2.0,300.0
S000000432,2021-01-23,shop_32,BED_5,1.0,395.0
S000000433,2021-01-22,shop_33,BED_6,3.0,440.0
S000000434,2021-01-21,shop_34,TSH_7,1.0,20.0
S000000435,2021-01-20,shop_35,TSH_8,2.0,20.0
S000000436,2021-01-19,shop_36,TSH_9,2.0,22.0
S000000437,2021-01-18,shop_37,TSH_10,1.0,24.0
S000000438,2021-01-17,shop_38,TSH_11,1.0,24.0
S000000439,2021-01-16,shop_39,HOO_12,1.0,45.0
S000000440,2021-01-15,shop_0,HOO_13,4.0,48.0
S000000441,2021-01-14,shop_1,HOO_14,1.0,49.0
S000000442,2021-01-13,shop_2,SHO_15,1.0,60.0
S000000443,2021-01-12,shop_3,SHO_16,1.0,60.0
S000000444,2021-01-11,shop_4,SHO_17,2.0,60.0
S000000445,2021-01-10,shop_5,SHO_18,1.0,60.0
S000000446,2021-01-09,shop_6,SHO_19,3.0,60.0
S000000447,2021-01-08,shop_7,SHO_20,1.0,60.0
S000000448,2021-01-07,shop_8,TAB_21,2.0,210.0
S000000449,2021-01-06,shop_9,TAB_22,2.0,300.0
S000000450,2021-02-04,shop_10,CHA_23,1.0,60.0
S000000451,2021-02-03,shop_11,BED_24,1.0,150.0
