Company,Name,Ref,Review Date,Cocoa Percent,Company Location,Rating,Broad Bean Origin,Bean Type,,,,
Ethel's Artisan (Mars),Red Vanilla,666,2011,62,U.S.A.,2.75,,,,,,
Fruition,La Red,1046,2013,70,U.S.A.,3.75,Dominican Republic,,,,,
L.A. Burdick (Felchlin),Chuao,927,2012,68,U.S.A.,3.75,Venezuela,Trinitario,,,,
L.A. Burdick (Felchlin),Dominican Republic,576,2010,74,U.S.A.,3.75,Dominican Republic,,,,,
Letterpress,Kokoa Kamili,1566,2015,70,U.S.A.,3.5,Tanzania,,,,,
Lillie Belle,Perfect Illusion,855,2012,65,U.S.A.,3.5,Peru,Criollo,,,,
Scharffen Berger,Finisterra,227,2008,72,U.S.A.,3,Ven.,,,,,
Tabal,Dominican Republic,1101,2013,70,U.S.A.,2.75,Dominican Republic,,,,,
Tejas,Bayou Blend,801,2012,70,U.S.A.,3,Ecuador,,,,,
Bar Au Chocolat,Chiapas,983,2012,70,U.S.A.,3.5,Mexico,,,,,
Black Mountain,La Red,256,2008,70,U.S.A.,2.75,Dominican Republic,,,,,
Castronovo,Bolivia,1101,2013,70,U.S.A.,3,Bolivia,Trinitario,,,,
Chocola'te,Madagascar,647,2011,70,U.S.A.,3.75,Madagascar,Trinitario,,,,
Dick Taylor,Belize,955,2012,72,U.S.A.,2.75,Belize,Trinitario,,,,
Finca,Dominican Republic,1283,2014,80,U.S.A.,3,Dominican Republic,,,,,
Fruition,Peru,863,2012,70,U.S.A.,2.5,Peru,,,,,
Guittard,Onyx,654,2011,72,U.S.A.,3.25,,,,,,
Letterpress,Beniamo,1562,2015,70,U.S.A.,3.25,Bolivia,,,,,
Mana,Venezuela,1219,2014,74,U.S.A.,2.75,Venezuela,,,,,
Marsatta,Dominican Republic,1189,2013,74,U.S.A.,2.25,Dominican Republic,,,,,
Middlebury,Kokoa Kamili,1538,2015,75,U.S.A.,3.25,Tanzania,,,,,
Oakland Chocolate Co.,Jamaica,478,2010,70,U.S.A.,2.5,Jamaica,Trinitario,,,,
Olive and Sinclair,Ghana prototype,486,2010,72,U.S.A.,3,Ghana,Forastero,,,,
Pitch Dark,Chuno,1510,2015,80,U.S.A.,2.75,Nicaragua,Criollo,,,,
Rogue,Jamaica,213,2008,70,U.S.A.,2.75,Jamaica,Trinitario,,,,
Snake & Butterfly,Madagascar,502,2010,68,U.S.A.,3,Madagascar,Trinitario,,,,
Starchild,Cacao Verapaz,1692,2015,70,U.S.A.,3,Guatemala,,,,,
twenty-four blackbirds,Madagascar,1235,2014,75,U.S.A.,3.5,Madagascar,Trinitario,,,,
Videri,Mindo,1227,2014,75,U.S.A.,3.5,Ecuador,,,,,
Altus aka Cao Artisan,Acopagro,1728,2016,60,U.S.A.,3,Peru,,,,,
Arete,Camino Verde,1602,2015,75,U.S.A.,3.5,Ecuador,,,,,
Bar Au Chocolat,Sambirano,983,2012,70,U.S.A.,3.75,Madagascar,Trinitario,,,,
Chocola'te,Venezuela,647,2011,68,U.S.A.,3.75,Venezuela,,,,,
Dandelion,Papua New Guinea,1153,2013,70,U.S.A.,3.5,Papua New Guinea,,,,,
DeVries,Dominican Republic,166,2007,77,U.S.A.,3.5,Dominican Republic,,,,,
Dick Taylor,Elvesia,1235,2014,74,U.S.A.,3.5,Dominican Republic,,,,,
Dick Taylor,Camino Verde,1193,2013,76,U.S.A.,3.5,Ecuador,,,,,
Finca,Dominican Republic,1283,2014,70,U.S.A.,3.25,Dominican Republic,,,,,
Fruition,Gran Couva,1347,2014,70,U.S.A.,3.75,Trinidad,Trinitario,,,,
Guittard,Haiti,1053,2013,65,U.S.A.,2.75,Haiti,,,,,
hello cocoa,Venezuela,1462,2015,74,U.S.A.,3.5,Venezuela,Criollo,,,,
Lillie Belle,Wild Thing,947,2012,68,U.S.A.,3.5,Bolivia,Criollo,,,,
Lillie Belle,La Selva,903,2012,68,U.S.A.,3.75,Peru,,,,,
Manoa,Piura,1007,2012,72,U.S.A.,3,Peru,,,,,
Maverick,Elvesia,1367,2014,70,U.S.A.,3.25,Dominican Republic,,,,,
Mayacama,Hispaniola,1728,2016,72,U.S.A.,3,Domincan Republic,,,,,
Meadowlands,Belize,1287,2014,70,U.S.A.,3,Belize,Trinitario,,,,
Meadowlands,Venezuela,1287,2014,70,U.S.A.,2.75,Venezuela,,,,,
Ritual,Costa Rica,745,2011,75,U.S.A.,3.5,Costa Rica,,,,,
Shark Mountain,ROIG,1466,2015,74,U.S.A.,3.5,Dominican Republic,Criollo,,,,
TCHO,TCHOPro 60.5,387,2009,60,U.S.A.,2.75,,,,,,
Terroir,Belize,1478,2015,70,U.S.A.,3.75,Belize,Trinitario,,,,
Tocoti,Dominican Republic,789,2011,74,U.S.A.,3,Dominican Republic,,,,,
Videri,Dark,1117,2013,90,U.S.A.,3.75,Central and S. America,,,,,
Animas,Alto Beni,1852,2016,75,U.S.A.,3.5,Bolivia,,,,,
Dandelion,Upala,805,2012,70,U.S.A.,3,Costa Rica,,,,,
Davis,West Africa,907,2012,58,U.S.A.,3.25,West Africa,Forastero,,,,
Dick Taylor,Tien Giang,1864,2016,78,U.S.A.,3.5,Vietnam,Trinitario,,,,
Guittard,Special Maker Reserve,276,2008,64,U.S.A.,3,,,,,,
Kto,Elvesia,1426,2014,72,U.S.A.,3.25,Dominican Republic,,,,,
Nathan Miller,Peru,1403,2014,72,U.S.A.,2.25,Peru,,,,,
Pitch Dark,Akesson Estate,1311,2014,73,U.S.A.,3.25,Madagascar,Trinitario,,,,
Raaka,Madagascar,959,2012,75,U.S.A.,3.25,Madagascar,Trinitario,,,,
Scharffen Berger,Semisweet,56,2006,62,U.S.A.,3,,Blend,,,,
Sibu Sura,Peru,911,2012,70,U.S.A.,2.5,Peru,,,,,
Starchild,Hispaniola,1692,2015,70,U.S.A.,3,Domincan Republic,,,,,
Sublime Origins,Moho Valley,1157,2013,78,U.S.A.,3.25,Belize,Trinitario,,,,
Taza,Alto Beni,785,2011,87,U.S.A.,3.25,Bolivia,,,,,
twenty-four blackbirds,Palos Blancos,1026,2013,75,U.S.A.,2.5,Bolivia,,,,,
Videri,Trinidad,1211,2014,75,U.S.A.,3.5,Trinidad,Trinitario,,,,
Vivra,Ocumare,1720,2016,70,U.S.A.,2.5,Venezuela,,,,,
Woodblock,Costa Rica,825,2012,70,U.S.A.,3,Costa Rica,,,,,
Amano,Cuyagua,147,2007,70,U.S.A.,3,Venezuela,,,,,
Bittersweet Origins,Bocas del Toro,233,2008,75,U.S.A.,3.5,Panama,,,,,
Blue Bandana,Lachua,1752,2016,75,U.S.A.,2.75,Guatemala,,,,,
Chuao Chocolatier,Choroni,445,2009,61,U.S.A.,3,Venezuela,Criollo,,,,
Mana,Ecuador,1446,2015,74,U.S.A.,2.5,Ecuador,,,,,
Millcreek Cacao Roasters,Ecuador,1073,2013,70,U.S.A.,2.5,Ecuador,Forastero (Nacional),,,,
Nanea,Criollo Blend,1007,2013,85,U.S.A.,3.5,Hawaii,,,,,
Scharffen Berger,Asante,336,2009,65,U.S.A.,4,Ghana,Forastero,,,,
Terroir,Ecuador,1482,2015,70,U.S.A.,3.25,Ecuador,,,,,
Two Ravens,Peru,1740,2016,60,U.S.A.,3,Peru,Criollo,,,,
Vicuna,Palos Blancos,1470,2015,70,U.S.A.,3.25,Bolivia,,,,,
Vintage Plantations,San Martin,1205,2014,75,U.S.A.,3,Peru,,,,,
Woodblock,Ecuador,825,2012,70,U.S.A.,2.5,Ecuador,,,,,
Altus aka Cao Artisan,Momotombo,1728,2016,60,U.S.A.,2.75,Nicaragua,,,,,
Altus aka Cao Artisan,Bolivia,1133,2013,60,U.S.A.,3,Bolivia,,,,,
Bar Au Chocolat,Duarte Province,983,2012,70,U.S.A.,3.25,Dominican Republic,,,,,
Chocolate Con Amor,Wild Bolivian,1760,2016,70,U.S.A.,2.5,Bolivia,,,,,
Chocolate Conspiracy,Peru,1259,2014,74,U.S.A.,2.75,Peru,,,,,
Dandelion,Colombian,805,2012,70,U.S.A.,3.25,Colombia,,,,,
Dandelion,Madagascar,654,2011,70,U.S.A.,3.25,Madagascar,Trinitario,,,,
Davis,Rainforest,1093,2013,70,U.S.A.,2.75,Dominican Republic,,,,,
Guittard,Machu Pichu,259,2008,65,U.S.A.,3,Peru,,,,,
hexx,Tanzania,1546,2015,70,U.S.A.,2.75,Tanzania,,,,,
Molucca,Indonesia,1618,2015,70,U.S.A.,2.75,Indonesia,,,,,
Muchomas (Mesocacao),Nicaragua,1462,2015,70,U.S.A.,3.5,Nicaragua,,,,,
Nuance,La Red,1470,2015,70,U.S.A.,3.75,Dominican Republic,,,,,
Peppalo,Dominican Republic,1454,2015,82,U.S.A.,3,Dominican Republic,,,,,
Solstice,Bolivia,1161,2013,70,U.S.A.,3.25,Bolivia,,,,,
Spagnvola,AgroCriso Plantation,793,2012,75,U.S.A.,3.25,Dominican Republic,,,,,
Tejas,Espada,967,2012,70,U.S.A.,2.75,Brazil,,,,,
Violet Sky,Sambirano Valley,1458,2015,77,U.S.A.,2.75,Madagascar,Trinitario,,,,
Altus aka Cao Artisan,Peru,1133,2013,60,U.S.A.,3.25,Peru,,,,,
Arete,Nacional,1534,2015,68,U.S.A.,3.5,Peru,Forastero (Nacional),,,,
Bittersweet Origins,Ghana,963,2012,72,U.S.A.,3.5,Ghana,Forastero,,,,
Bowler Man,Maya Mountain,1267,2014,70,U.S.A.,2.75,Belize,Trinitario,,,,
Brasstown aka It's Chocolate,Chuao,1355,2014,70,U.S.A.,4,Venezuela,Trinitario,,,,
Brasstown aka It's Chocolate,Ghana,1129,2013,75,U.S.A.,3.5,Ghana,Forastero,,,,
Harper Macaw,Brazil Blend,1696,2015,67,U.S.A.,3,Brazil,,,,,
Just Good Chocolate,Belize,1375,2014,70,U.S.A.,3.5,Belize,Trinitario,,,,
Mindo,Ecuador,607,2010,67,U.S.A.,2.75,Ecuador,,,,,
Raaka,Amazon Basin Blend,1788,2016,70,U.S.A.,3,Peru(SMartin,,,,,
Rogue,Porcelana,1209,2014,80,U.S.A.,3.75,Venezuela,Criollo,,,,
Sacred,Midnight,813,2012,83,U.S.A.,2.75,Central and S. America,,,,,
Sjolinds,Ghana,1454,2015,70,U.S.A.,2.75,Ghana,Forastero,,,,
TCHO,Peru- Ecuador,915,2012,99,U.S.A.,3.25,Peru,,,,,
Bar Au Chocolat,Maranon Canyon,1295,2014,70,U.S.A.,4,Peru,Forastero (Nacional),,,,
Finca,Dominican Republic,1287,2014,85,U.S.A.,2.5,Dominican Republic,,,,,
Fruition,Signature Blend,753,2011,66,U.S.A.,3.25,Costa Rica,Trinitario,,,,
Guittard,Semisweet,99,2006,61,U.S.A.,3,,Blend,,,,
hexx,Peru,1550,2015,70,U.S.A.,3.25,Peru,,,,,
Kto,ROIG,1426,2014,72,U.S.A.,3.25,Dominican Republic,,,,,
L'Amourette,Rugoso,1784,2016,80,U.S.A.,3.5,Nicaragua,Trinitario,,,,
L'Amourette,Rio Caribe,833,2012,75,U.S.A.,3,Venezuela,Trinitario,,,,
Madre,Puerto Rico,1085,2013,70,U.S.A.,2.75,Puerto Rico,,,,,
Mars,Ivory Coast,544,2010,65,U.S.A.,3,Ivory Coast,,,,,
Meadowlands,Dominican Republic,1291,2014,70,U.S.A.,3.5,Dominican Republic,,,,,
Middlebury,Houseblend,887,2012,65,U.S.A.,1.5,,,,,,
Muchomas (Mesocacao),Nicaragua,1462,2015,80,U.S.A.,3.5,Nicaragua,,,,,
Olive and Sinclair,Dark 75,457,2009,75,U.S.A.,3,Ghana,,,,,
Patric,Signature Blend,636,2011,70,U.S.A.,3.75,,Blend,,,,
Rogue,Piura,565,2010,75,U.S.A.,3.75,Peru,,,,,
Tejas,Concepcion,801,2012,70,U.S.A.,2.75,Madagascar,,,,,
Terroir,Madagascar,1323,2014,67,U.S.A.,3.75,Madagascar,Trinitario,,,,
Violet Sky,Cuyagua,1458,2015,77,U.S.A.,3,Venezuela,Criollo,,,,
Woodblock,Sambirano,951,2012,70,U.S.A.,3.25,Madagascar,Trinitario,,,,
Woodblock,Ocumare,741,2011,70,U.S.A.,4,Venezuela,,,,,
Arete,Guatemala,1602,2015,70,U.S.A.,3.25,Guatemala,,,,,
Askinosie,San Jose del Tambo,175,2007,70,U.S.A.,3,Ecuador,Forastero (Arriba),,,,
Bittersweet Origins,2009 Hapa Nibby,502,2010,70,U.S.A.,3.75,Dominican Rep.,,,,,
Bittersweet Origins,Puerto Plata,233,2008,68,U.S.A.,3.75,Dominican Republic,,,,,
Blue Bandana,Guatemala,911,2012,70,U.S.A.,3.5,Guatemala,,,,,
Condor,Camino Verde,1630,2015,76,U.S.A.,3.5,Ecuador,,,,,
Dandelion,Tanzania,654,2011,70,U.S.A.,3.25,Tanzania,,,,,
Dick Taylor,Ecuador,769,2011,70,U.S.A.,3.25,Ecuador,,,,,
Dick Taylor,Sambirano,661,2011,72,U.S.A.,3,Madagascar,Trinitario,,,,
Guittard,Coucher du Soleil,654,2011,72,U.S.A.,2.75,,,,,,
Guittard,Quetzalcoatl,147,2007,72,U.S.A.,3.5,,Blend,,,,
Kyya,Uganda,1359,2014,72,U.S.A.,2.5,Uganda,Forastero,,,,
Noir d' Ebine,Ecuador,841,2012,70,U.S.A.,3,Ecuador,,,,,
Rogue,Rio Caribe,327,2009,70,U.S.A.,3.5,Venezuela,Trinitario,,,,
Rogue,Trinidad,213,2008,70,U.S.A.,3,Trinidad,Trinitario,,,,
Starchild,Rio Tuma,1692,2015,70,U.S.A.,3,Nicaragua,Trinitario (Amelonado),,,,
Sublime Origins,Sambirano,1157,2013,67,U.S.A.,2.75,Madagascar,Trinitario,,,,
TCHO,West Africa,1716,2016,62,U.S.A.,2,West Africa,Forastero,,,,
Vivra,Dominican Republic,1724,2016,70,U.S.A.,3,Domincan Republic,,,,,
Amano,Madagascar,129,2007,70,U.S.A.,3.5,Madagascar,Trinitario,,,,
Blue Bandana,Zorzal Reserva,1756,2016,75,U.S.A.,3,Dominican Republic,,,,,
Bowler Man,Conacado,1271,2014,70,U.S.A.,2.75,Dominican Republic,,,,,
DeVries,Bolivian,241,2008,80,U.S.A.,2.75,Bolivia,,,,,
Dick Taylor,La Red,769,2011,74,U.S.A.,3,Dominican Republic,,,,,
French Broad,La Red,785,2011,65,U.S.A.,3.5,Dominican Republic,,,,,
Glennmade,Bahia,1672,2015,66,U.S.A.,3,Brazil,Trinitario,,,,
Jacque Torres,Trinatario Treasure,5,2006,71,U.S.A.,2,Ghana,Trinitario,,,,
Letterpress,Maranura,1371,2014,70,U.S.A.,3.5,Peru,Forastero (Nacional),,,,
Mast Brothers,Shake Shack,959,2012,73,U.S.A.,3.5,Peru,,,,,
Mast Brothers,Brooklyn Blend,672,2011,72,U.S.A.,3.5,,,,,,
Mast Brothers,Patanemo,572,2010,81,U.S.A.,2.75,Venezuela,Criollo,,,,
Molucca,La Red,1614,2015,70,U.S.A.,3,Domincan Republic,,,,,
Nibble,Patanemo,1526,2015,72,U.S.A.,2.25,Venezuela,Criollo,,,,
Scharffen Berger,San Juan de Cheni,959,2012,78,U.S.A.,4,Peru,,,,,
Tejas,San Jose,971,2012,67,U.S.A.,3.25,Bolivia,,,,,
Tejas,Capistrano,821,2012,70,U.S.A.,2,Peru,,,,,
Escazu,Ocumare,252,2008,72,U.S.A.,3,Venezuela,Criollo,,,,
French Broad,Tumbes Coop,883,2012,70,U.S.A.,2.5,Peru,Criollo,,,,
L.A. Burdick (Felchlin),Peru,891,2012,74,U.S.A.,3.25,Peru,,,,,
L.A. Burdick (Felchlin),Bolivian,451,2009,68,U.S.A.,3,Bolivia,,,,,
Mast Brothers,Papua New Guinea,777,2011,71,U.S.A.,2.75,Papua New Guinea,,,,,
Noble Bean aka Jerjobo,Moho Valley,1299,2014,75,U.S.A.,3,Belize,Trinitario,,,,
Scharffen Berger,Tome Acu,336,2009,68,U.S.A.,3.75,Brazil,,,,,
Shark Mountain,Cuyagua,1466,2015,77,U.S.A.,2.75,Venezuela,Criollo,,,,
SRSLY,Dominican Republic,1121,2013,84,U.S.A.,2.25,Dominican Republic,,,,,
Amano,Ocumare,175,2007,70,U.S.A.,3.75,Venezuela,Criollo,,,,
Anahata,Elvesia,1259,2014,75,U.S.A.,3,Dominican Republic,,,,,
Bar Au Chocolat,Bahia,1554,2015,70,U.S.A.,3.5,Brazil,,,,,
Beehive,Ecuador,1788,2016,90,U.S.A.,2.75,Ecuador,,,,,
Bittersweet Origins,Sambirano,431,2009,65,U.S.A.,3.5,Madagascar,Trinitario,,,,
Brazen,Elvesia P.,1514,2015,80,U.S.A.,3.25,Dominican Republic,,,,,
Cacao Prieto,Dominican Republic,641,2011,66,U.S.A.,3.75,Dominican Republic,,,,,
Castronovo,Conacado,1101,2013,73,U.S.A.,3.5,Dominican Republic,Trinitario,,,,
Castronovo,Guaniamo,1153,2013,72,U.S.A.,3,Venezuela,,,,,
Dandelion,Dominican Republic,654,2011,70,U.S.A.,3.25,Dominican Republic,,,,,
Dark Forest,Ecuador,1554,2015,70,U.S.A.,3.25,Ecuador,,,,,
Ethel's Artisan (Mars),Porcelana,666,2011,70,U.S.A.,2.5,Venezuela,Criollo (Porcelana),,,,
hello cocoa,Uganda,1458,2015,57,U.S.A.,2.75,Uganda,Forastero,,,,
Kyya,Ecuador,1363,2014,72,U.S.A.,2.5,Ecuador,,,,,
L.A. Burdick (Felchlin),Quito,682,2011,74,U.S.A.,3.75,Ecuador,,,,,
Letterpress,San Andres,1566,2015,70,U.S.A.,3,Costa Rica,,,,,
Mast Brothers,Tanzania,1450,2015,74,U.S.A.,3.25,Tanzania,,,,,
Mast Brothers,Moho River,773,2011,70,U.S.A.,3.5,Belize,Trinitario,,,,
Noble Bean aka Jerjobo,Ghana,1295,2014,75,U.S.A.,3,Ghana,Forastero,,,,
Patric,Madagascar,439,2009,67,U.S.A.,3.5,Madagascar,Trinitario,,,,
Raaka,La Red,785,2011,85,U.S.A.,3.5,Dominican Republic,,,,,
Solstice,Wasatch,1161,2013,70,U.S.A.,3.5,,Blend,,,,
Tejas,Concepcion*,971,2012,80,U.S.A.,3,Venezuela,,,,,
Terroir,Oko Caribe,1554,2015,70,U.S.A.,3.5,Domincan Republic,,,,,
Theo,Congo w/ nibs,903,2012,65,U.S.A.,3.25,Congo,Forastero,,,,
twenty-four blackbirds,Dominican Republic,1022,2013,68,U.S.A.,3.25,Dominican Republic,,,,,
Undone,Nourish,1438,2014,70,U.S.A.,3,Dominican Republic,,,,,
Vanleer (Barry Callebaut),Manhattan,963,2012,72,U.S.A.,2.5,Ghana,Forastero,,,,
Altus aka Cao Artisan,Sur del Lago,1125,2013,60,U.S.A.,2.5,Venezuela,,,,,
Amano,Morobe,725,2011,70,U.S.A.,4,Papua New Guinea,,,,,
Bittersweet Origins,Puerto Plata,414,2009,65,U.S.A.,3.5,Dominican Republic,,,,,
Brasstown aka It's Chocolate,Maya Mountain,1255,2014,70,U.S.A.,3.75,Belize,Trinitario,,,,
Chequessett,la Amistad,1235,2014,70,U.S.A.,3.5,Costa Rica,,,,,
Dark Forest,Bolivia,1708,2016,75,U.S.A.,3.25,Bolivia,,,,,
Guittard,Tsaranta,93,2006,61,U.S.A.,3.5,,Blend,,,,
Marsatta,Dominican Republic,1189,2013,89,U.S.A.,2.5,Dominican Republic,,,,,
Night Owl,Ecuador,1022,2013,75,U.S.A.,3.5,Ecuador,,,,,
Pinellas,Wampusirpi Region,1772,2016,80,U.S.A.,2.5,Honduras,,,,,
Scharffen Berger,Las Islas,117,2007,72,U.S.A.,3,Carribean(DR/Jam/Tri),Blend,,,,
Arete,San Juan,1724,2016,70,U.S.A.,3.5,Trinidad,Trinitario,,,,
Askinosie,Davao,331,2009,77,U.S.A.,3.75,Philippines,Trinitario,,,,
Black Mountain,Carenero Superior,256,2008,70,U.S.A.,2.75,Venezuela,Trinitario,,,,
Castronovo,Nicaragua,1109,2013,72,U.S.A.,3.25,Nicaragua,Trinitario,,,,
Cello,Peru,1247,2014,70,U.S.A.,2.75,Peru,,,,,
Dandelion,Maya Mountain,1219,2014,70,U.S.A.,3.5,Belize,Trinitario,,,,
Dean and Deluca (Belcolade),Ghana,175,2007,60,U.S.A.,3,Ghana,Forastero,,,,
Dick Taylor,Bolivia,895,2012,75,U.S.A.,2.75,Bolivia,,,,,
Dulcinea,Dominican Republic,1506,2015,70,U.S.A.,3.25,Dominican Republic,,,,,
Durci,Taino Secret,1630,2015,70,U.S.A.,3.25,Domincan Republic,,,,,
Guittard,Nicaragua,1053,2013,65,U.S.A.,2.75,Nicaragua,,,,,
Mast Brothers,French Laundry 20th Anniversary,1359,2014,75,U.S.A.,3.75,Peru,,,,,
Mast Brothers,Madagascar,999,2012,72,U.S.A.,2.5,Madagascar,Trinitario,,,,
Middlebury,La Red,1117,2013,75,U.S.A.,2.5,Dominican Republic,,,,,
Night Owl,Peru,1022,2013,75,U.S.A.,2.75,Peru,,,,,
Scharffen Berger,Antilles (Trin/Gren/DR/Ven),188,2007,75,U.S.A.,3,Carribean,Blend,,,,
Scharffen Berger,Cuyagua,135,2007,75,U.S.A.,3.75,Venezuela,,,,,
Sol Cacao,Madagascar,1518,2015,72,U.S.A.,3,Madagascar,Trinitario,,,,
Spagnvola,AgroCriso Plantation,793,2012,70,U.S.A.,3,Dominican Republic,,,,,
Spagnvola,AgroCriso Plantation,793,2012,80,U.S.A.,3,Dominican Republic,,,,,
Starchild,Sambirano Valley,1696,2015,70,U.S.A.,3,Madagascar,Trinitario,,,,
TCHO,TCHOPro 68,387,2009,68,U.S.A.,3,,,,,,
Terroir,Uganda,1323,2014,73,U.S.A.,3.75,Uganda,Forastero,,,,
Theo,Madagascar,162,2007,65,U.S.A.,3.5,Madagascar,Trinitario,,,,
Videri,Classic,991,2012,70,U.S.A.,3.25,Central and S. America,,,,,
Askinosie,Xoconusco,141,2007,75,U.S.A.,2.5,Mexico,Trinitario,,,,
Brasstown aka It's Chocolate,Cooproagro,1125,2013,72,U.S.A.,3,Dominican Republic,Trinitario,,,,
Cao,Bolivia,1808,2016,75,U.S.A.,3,Bolivia,,,,,
Chocovivo,Tabasco,1522,2015,65,U.S.A.,2.5,Mexico,Trinitario,,,,
Dean and Deluca (Belcolade),Madagascar,170,2007,66,U.S.A.,2.5,Madagascar,Trinitario,,,,
hexx,Ecuador,1550,2015,73,U.S.A.,3.25,Ecuador,,,,,
Isidro,Dominican Republic,1279,2014,72,U.S.A.,3.25,Dominican Republic,,,,,
Just Good Chocolate,Peru,1375,2014,70,U.S.A.,4,Peru,,,,,
L'Amourette,Blend,853,2012,72,U.S.A.,3,Peru,,,,,
Middlebury,San Juan Estate,1490,2015,70,U.S.A.,3.5,Trinidad,Trinitario,,,,
Nibble,Tumbes,1526,2015,72,U.S.A.,3,Peru,Criollo,,,,
Scharffen Berger,Amina,464,2010,65,U.S.A.,3.75,Madagascar,Trinitario,,,,
Sjolinds,Nicaragua,1462,2015,72,U.S.A.,3,Nicaragua,,,,,
Solstice,San Martin,1161,2013,70,U.S.A.,3.25,Peru,,,,,
Solstice,Amazonas,1157,2013,70,U.S.A.,3,Venezuela,,,,,
Terroir,Peru,1478,2015,70,U.S.A.,2.75,Peru,,,,,
twenty-four blackbirds,Oko Caribe,1700,2015,75,U.S.A.,2.75,Domincan Republic,,,,,
Arete,Kokoa Kamili,1724,2016,70,U.S.A.,3.75,Tanzania,,,,,
Breeze Mill,Jamaica,1149,2013,70,U.S.A.,3,Jamaica,Trinitario,,,,
Cello,Bolivia,1251,2014,70,U.S.A.,3,Bolivia,,,,,
Davis,Ghana,1093,2013,70,U.S.A.,2.5,Ghana,Forastero,,,,
Fruition,Camino Verde,1185,2013,75,U.S.A.,3,Ecuador,,,,,
Indaphoria,La Red,821,2012,70,U.S.A.,3.25,Dominican Republic,,,,,
Kto,San Martin,1422,2014,72,U.S.A.,2.5,Peru,,,,,
Mana,Peru,1219,2014,74,U.S.A.,2.5,Peru,,,,,
Scharffen Berger,Nibby,135,2007,62,U.S.A.,3,,,,,,
Videri,Dominican Republic,1211,2014,90,U.S.A.,3.25,Dominican Republic,,,,,
Askinosie,Cortes,661,2011,70,U.S.A.,3.75,Honduras,Trinitario,,,,
Brazen,Elvesia P.,1514,2015,60,U.S.A.,3,Dominican Republic,,,,,
Bronx Grrl Chocolate,Dominican Republic,1181,2013,68,U.S.A.,2.75,Dominican Republic,,,,,
Davis,Venezuela,1093,2013,70,U.S.A.,2.75,Venezuela,,,,,
French Broad,Guatemala,1634,2015,73,U.S.A.,3.5,Guatemala,,,,,
Map Chocolate,Le Chocolat Chaud,1634,2015,78,U.S.A.,3.5,Honduras,,,,,
Mast Brothers,Chuao,999,2012,73,U.S.A.,2.75,Venezuela,Trinitario,,,,
Middlebury,Maya Mountain,1490,2015,80,U.S.A.,3.5,Belize,Trinitario,,,,
Park 75,South America,1363,2014,65,U.S.A.,3.5,South America,,,,,
Patric,Madagascar,196,2007,70,U.S.A.,4,Madagascar,Trinitario,,,,
Pitch Dark,Namau Village,1315,2014,73,U.S.A.,2.5,Fiji,Trinitario,,,,
Scharffen Berger,Camahogne,464,2010,68,U.S.A.,3.5,Grenada,Trinitario,,,,
Tocoti,Venezuela,789,2011,72,U.S.A.,2.75,Venezuela,,,,,
Altus aka Cao Artisan,Gruppo Salinas,1732,2016,60,U.S.A.,2.75,Ecuador,,,,,
Arete,Oko Caribe,1598,2015,70,U.S.A.,3.5,Domincan Republic,,,,,
