GallusID,GallusBreed,Day,Age,GallusWeight,GallusEggColor,GallusEggWeight,AmountOfFeed,EggsPerDay,GallusCombType,SunLightExposure,GallusClass,GallusLegShanksColor,GallusBeakColor,GallusEarLobesColor,GallusPlumage
Marans18,Marans,3,906,2220,Brown,44.15,109,1,Single,10,Continental,White,White,NULL,Splash
Marans18,Marans,4,906,2220,Brown,44.15,109,1,Single,10,Continental,White,White,NULL,Splash
Marans18,Marans,5,906,2220,Brown,44.15,109,1,Single,10,Continental,White,White,NULL,Splash
Marans19,Marans,1,442,1740,Brown,48.75,118,1,Single,7,Continental,White,White,NULL,Splash Copper
Marans19,Marans,2,442,1740,Brown,48.75,118,1,Single,7,Continental,White,White,NULL,Splash Copper
Marans19,Marans,3,442,1740,Brown,48.75,118,1,Single,7,Continental,White,White,NULL,Splash Copper
Marans19,Marans,4,442,1740,Brown,48.75,118,1,Single,7,Continental,White,White,NULL,Splash Copper
Marans19,Marans,5,442,1740,Brown,48.75,118,1,Single,7,Continental,White,White,NULL,Splash Copper
Marans20,Marans,1,233,2040,Brown,31.52,115,1,Single,7,Continental,White,White,NULL,Splash Copper
Marans20,Marans,2,233,2040,Brown,31.52,115,1,Single,7,Continental,White,White,NULL,Splash Copper
Marans20,Marans,3,233,2040,Brown,31.52,115,1,Single,7,Continental,White,White,NULL,Splash Copper
Marans20,Marans,4,233,2040,Brown,31.52,115,1,Single,7,Continental,White,White,NULL,Splash Copper
Marans20,Marans,5,233,2040,Brown,31.52,115,1,Single,7,Continental,White,White,NULL,Splash Copper
Marans21,Marans,1,118,2010,Brown,50.95,129,1,Single,10,Continental,White,White,NULL,Splash
Marans21,Marans,2,118,2010,Brown,50.95,129,1,Single,10,Continental,White,White,NULL,Splash
Marans21,Marans,3,118,2010,Brown,50.95,129,1,Single,10,Continental,White,White,NULL,Splash
Marans21,Marans,4,118,2010,Brown,50.95,129,1,Single,10,Continental,White,White,NULL,Splash
Marans21,Marans,5,118,2010,Brown,50.95,129,1,Single,10,Continental,White,White,NULL,Splash
Marans22,Marans,1,899,2190,Brown,49.75,106,1,Single,9,Continental,White,White,NULL,Blue
Marans22,Marans,2,899,2190,Brown,49.75,106,1,Single,9,Continental,White,White,NULL,Blue
Marans22,Marans,3,899,2190,Brown,49.75,106,1,Single,9,Continental,White,White,NULL,Blue
Marans22,Marans,4,899,2190,Brown,49.75,106,1,Single,9,Continental,White,White,NULL,Blue
Marans22,Marans,5,899,2190,Brown,49.75,106,1,Single,9,Continental,White,White,NULL,Blue
Marans23,Marans,1,866,2170,Brown,39.63,123,1,Single,9,Continental,White,White,NULL,Blue
Marans23,Marans,2,866,2170,Brown,39.63,123,1,Single,9,Continental,White,White,NULL,Blue
Marans23,Marans,3,866,2170,Brown,39.63,123,1,Single,9,Continental,White,White,NULL,Blue
Marans23,Marans,4,866,2170,Brown,39.63,123,1,Single,9,Continental,White,White,NULL,Blue
Marans23,Marans,5,866,2170,Brown,39.63,123,1,Single,9,Continental,White,White,NULL,Blue
Marans24,Marans,1,444,2230,Brown,31.63,118,1,Single,7,Continental,White,White,NULL,Blue
Marans24,Marans,2,444,2230,Brown,31.63,118,1,Single,7,Continental,White,White,NULL,Blue
Marans24,Marans,3,444,2230,Brown,31.63,118,1,Single,7,Continental,White,White,NULL,Blue
Marans24,Marans,4,444,2230,Brown,31.63,118,1,Single,7,Continental,White,White,NULL,Blue
Marans24,Marans,5,444,2230,Brown,31.63,118,1,Single,7,Continental,White,White,NULL,Blue
Marans25,Marans,1,425,2410,Brown,45.24,129,1,Single,9,Continental,White,White,NULL,Splash
Marans25,Marans,2,425,2410,Brown,45.24,129,1,Single,9,Continental,White,White,NULL,Splash
Marans25,Marans,3,425,2410,Brown,45.24,129,1,Single,9,Continental,White,White,NULL,Splash
Marans25,Marans,4,425,2410,Brown,45.24,129,1,Single,9,Continental,White,White,NULL,Splash
Marans25,Marans,5,425,2410,Brown,45.24,129,1,Single,9,Continental,White,White,NULL,Splash
Marans26,Marans,1,859,1890,Brown,53.83,121,1,Single,7,Continental,White,White,NULL,Blue
Marans26,Marans,2,859,1890,Brown,53.83,121,1,Single,7,Continental,White,White,NULL,Blue
Marans26,Marans,3,859,1890,Brown,53.83,121,1,Single,7,Continental,White,White,NULL,Blue
Marans26,Marans,4,859,1890,Brown,53.83,121,1,Single,7,Continental,White,White,NULL,Blue
Marans26,Marans,5,859,1890,Brown,53.83,121,1,Single,7,Continental,White,White,NULL,Blue
Marans27,Marans,1,179,1580,Brown,36.31,126,1,Single,9,Continental,White,White,NULL,Blue Copper
Marans27,Marans,2,179,1580,Brown,36.31,126,1,Single,9,Continental,White,White,NULL,Blue Copper
Marans27,Marans,3,179,1580,Brown,36.31,126,1,Single,9,Continental,White,White,NULL,Blue Copper
Marans27,Marans,4,179,1580,Brown,36.31,126,1,Single,9,Continental,White,White,NULL,Blue Copper
Marans27,Marans,5,179,1580,Brown,36.31,126,1,Single,9,Continental,White,White,NULL,Blue Copper
Marans28,Marans,1,469,1980,Brown,32.32,114,1,Single,10,Continental,White,White,NULL,Blue
Marans28,Marans,2,469,1980,Brown,32.32,114,1,Single,10,Continental,White,White,NULL,Blue
Marans28,Marans,3,469,1980,Brown,32.32,114,1,Single,10,Continental,White,White,NULL,Blue
Marans28,Marans,4,469,1980,Brown,32.32,114,1,Single,10,Continental,White,White,NULL,Blue
Marans28,Marans,5,469,1980,Brown,32.32,114,1,Single,10,Continental,White,White,NULL,Blue
Marans29,Marans,1,265,2370,Brown,40.41,117,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans29,Marans,2,265,2370,Brown,40.41,117,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans29,Marans,3,265,2370,Brown,40.41,117,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans29,Marans,4,265,2370,Brown,40.41,117,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans29,Marans,5,265,2370,Brown,40.41,117,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans30,Marans,1,567,2550,Brown,40.19,121,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans30,Marans,2,567,2550,Brown,40.19,121,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans30,Marans,3,567,2550,Brown,40.19,121,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans30,Marans,4,567,2550,Brown,40.19,121,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans30,Marans,5,567,2550,Brown,40.19,121,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans31,Marans,1,832,2050,Brown,54.24,110,1,Single,9,Continental,White,White,NULL,Blue
Marans31,Marans,2,832,2050,Brown,54.24,110,1,Single,9,Continental,White,White,NULL,Blue
Marans31,Marans,3,832,2050,Brown,54.24,110,1,Single,9,Continental,White,White,NULL,Blue
Marans31,Marans,4,832,2050,Brown,54.24,110,1,Single,9,Continental,White,White,NULL,Blue
Marans31,Marans,5,832,2050,Brown,54.24,110,1,Single,9,Continental,White,White,NULL,Blue
Marans32,Marans,1,460,2680,Brown,53.42,107,1,Single,8,Continental,White,White,NULL,Blue
Marans32,Marans,2,460,2680,Brown,53.42,107,1,Single,8,Continental,White,White,NULL,Blue
Marans32,Marans,3,460,2680,Brown,53.42,107,1,Single,8,Continental,White,White,NULL,Blue
Marans32,Marans,4,460,2680,Brown,53.42,107,1,Single,8,Continental,White,White,NULL,Blue
Marans32,Marans,5,460,2680,Brown,53.42,107,1,Single,8,Continental,White,White,NULL,Blue
Marans33,Marans,1,902,2210,Brown,32.66,120,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans33,Marans,2,902,2210,Brown,32.66,120,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans33,Marans,3,902,2210,Brown,32.66,120,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans33,Marans,4,902,2210,Brown,32.66,120,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans33,Marans,5,902,2210,Brown,32.66,120,1,Single,8,Continental,White,White,NULL,Splash Copper
Marans34,Marans,1,124,2670,Brown,47.32,106,1,Single,8,Continental,White,White,NULL,Splash
Marans34,Marans,2,124,2670,Brown,47.32,106,1,Single,8,Continental,White,White,NULL,Splash
Marans34,Marans,3,124,2670,Brown,47.32,106,1,Single,8,Continental,White,White,NULL,Splash
Marans34,Marans,4,124,2670,Brown,47.32,106,1,Single,8,Continental,White,White,NULL,Splash
Marans34,Marans,5,124,2670,Brown,47.32,106,1,Single,8,Continental,White,White,NULL,Splash
Marans35,Marans,1,626,2600,Brown,45.31,118,1,Single,7,Continental,White,White,NULL,Blue
Marans35,Marans,2,626,2600,Brown,45.31,118,1,Single,7,Continental,White,White,NULL,Blue
Marans35,Marans,3,626,2600,Brown,45.31,118,1,Single,7,Continental,White,White,NULL,Blue
Marans35,Marans,4,626,2600,Brown,45.31,118,1,Single,7,Continental,White,White,NULL,Blue
Marans35,Marans,5,626,2600,Brown,45.31,118,1,Single,7,Continental,White,White,NULL,Blue
Marans36,Marans,1,825,2650,Brown,41.74,108,1,Single,8,Continental,White,White,NULL,Blue
Marans36,Marans,2,825,2650,Brown,41.74,108,1,Single,8,Continental,White,White,NULL,Blue
Marans36,Marans,3,825,2650,Brown,41.74,108,1,Single,8,Continental,White,White,NULL,Blue
Marans36,Marans,4,825,2650,Brown,41.74,108,1,Single,8,Continental,White,White,NULL,Blue
Marans36,Marans,5,825,2650,Brown,41.74,108,1,Single,8,Continental,White,White,NULL,Blue
Marans37,Marans,1,182,2640,Brown,39.74,120,1,Single,10,Continental,White,White,NULL,Blue Copper
Marans37,Marans,2,182,2640,Brown,39.74,120,1,Single,10,Continental,White,White,NULL,Blue Copper
Marans37,Marans,3,182,2640,Brown,39.74,120,1,Single,10,Continental,White,White,NULL,Blue Copper
Marans37,Marans,4,182,2640,Brown,39.74,120,1,Single,10,Continental,White,White,NULL,Blue Copper
Marans37,Marans,5,182,2640,Brown,39.74,120,1,Single,10,Continental,White,White,NULL,Blue Copper
Marans38,Marans,1,635,2670,Brown,54.49,129,1,Single,9,Continental,White,White,NULL,Splash
Marans38,Marans,2,635,2670,Brown,54.49,129,1,Single,9,Continental,White,White,NULL,Splash
Marans38,Marans,3,635,2670,Brown,54.49,129,1,Single,9,Continental,White,White,NULL,Splash
Marans38,Marans,4,635,2670,Brown,54.49,129,1,Single,9,Continental,White,White,NULL,Splash
Marans38,Marans,5,635,2670,Brown,54.49,129,1,Single,9,Continental,White,White,NULL,Splash
Marans39,Marans,1,236,2940,Brown,50.31,117,1,Single,8,Continental,White,White,NULL,Blue
Marans39,Marans,2,236,2940,Brown,50.31,117,1,Single,8,Continental,White,White,NULL,Blue
Marans39,Marans,3,236,2940,Brown,50.31,117,1,Single,8,Continental,White,White,NULL,Blue
Marans39,Marans,4,236,2940,Brown,50.31,117,1,Single,8,Continental,White,White,NULL,Blue
Marans39,Marans,5,236,2940,Brown,50.31,117,1,Single,8,Continental,White,White,NULL,Blue
Marans40,Marans,1,904,1820,Brown,52.92,123,1,Single,10,Continental,White,White,NULL,Blue
Marans40,Marans,2,904,1820,Brown,52.92,123,1,Single,10,Continental,White,White,NULL,Blue
Marans40,Marans,3,904,1820,Brown,52.92,123,1,Single,10,Continental,White,White,NULL,Blue
Marans40,Marans,4,904,1820,Brown,52.92,123,1,Single,10,Continental,White,White,NULL,Blue
Marans40,Marans,5,904,1820,Brown,52.92,123,1,Single,10,Continental,White,White,NULL,Blue
Marans41,Marans,1,648,2240,Brown,31.68,128,1,Single,8,Continental,White,White,NULL,Blue
Marans41,Marans,2,648,2240,Brown,31.68,128,1,Single,8,Continental,White,White,NULL,Blue
Marans41,Marans,3,648,2240,Brown,31.68,128,1,Single,8,Continental,White,White,NULL,Blue
Marans41,Marans,4,648,2240,Brown,31.68,128,1,Single,8,Continental,White,White,NULL,Blue
Marans41,Marans,5,648,2240,Brown,31.68,128,1,Single,8,Continental,White,White,NULL,Blue
Marans42,Marans,1,936,1530,Brown,39.71,113,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans42,Marans,2,936,1530,Brown,39.71,113,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans42,Marans,3,936,1530,Brown,39.71,113,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans42,Marans,4,936,1530,Brown,39.71,113,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans42,Marans,5,936,1530,Brown,39.71,113,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans43,Marans,1,979,2520,Brown,52.67,128,0,Single,9,Continental,White,White,NULL,Blue
Marans43,Marans,2,979,2520,Brown,52.67,128,0,Single,9,Continental,White,White,NULL,Blue
Marans43,Marans,3,979,2520,Brown,52.67,128,0,Single,9,Continental,White,White,NULL,Blue
Marans43,Marans,4,979,2520,Brown,52.67,128,0,Single,9,Continental,White,White,NULL,Blue
Marans43,Marans,5,979,2520,Brown,52.67,128,0,Single,9,Continental,White,White,NULL,Blue
Marans44,Marans,1,233,1990,Brown,37.33,125,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans44,Marans,2,233,1990,Brown,37.33,125,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans44,Marans,3,233,1990,Brown,37.33,125,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans44,Marans,4,233,1990,Brown,37.33,125,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans44,Marans,5,233,1990,Brown,37.33,125,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans45,Marans,1,863,2930,Brown,42.53,117,1,Single,10,Continental,White,White,NULL,Splash
Marans45,Marans,2,863,2930,Brown,42.53,117,1,Single,10,Continental,White,White,NULL,Splash
Marans45,Marans,3,863,2930,Brown,42.53,117,1,Single,10,Continental,White,White,NULL,Splash
Marans45,Marans,4,863,2930,Brown,42.53,117,1,Single,10,Continental,White,White,NULL,Splash
Marans45,Marans,5,863,2930,Brown,42.53,117,1,Single,10,Continental,White,White,NULL,Splash
Marans46,Marans,1,866,2160,Brown,54.93,126,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans46,Marans,2,866,2160,Brown,54.93,126,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans46,Marans,3,866,2160,Brown,54.93,126,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans46,Marans,4,866,2160,Brown,54.93,126,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans46,Marans,5,866,2160,Brown,54.93,126,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans47,Marans,1,809,1500,Brown,39.66,108,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans47,Marans,2,809,1500,Brown,39.66,108,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans47,Marans,3,809,1500,Brown,39.66,108,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans47,Marans,4,809,1500,Brown,39.66,108,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans47,Marans,5,809,1500,Brown,39.66,108,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans48,Marans,1,193,2320,Brown,38.72,106,1,Single,10,Continental,White,White,NULL,Splash
Marans48,Marans,2,193,2320,Brown,38.72,106,1,Single,10,Continental,White,White,NULL,Splash
Marans48,Marans,3,193,2320,Brown,38.72,106,1,Single,10,Continental,White,White,NULL,Splash
Marans48,Marans,4,193,2320,Brown,38.72,106,1,Single,10,Continental,White,White,NULL,Splash
Marans48,Marans,5,193,2320,Brown,38.72,106,1,Single,10,Continental,White,White,NULL,Splash
Marans49,Marans,1,896,2240,Brown,43.01,114,1,Single,8,Continental,White,White,NULL,Blue
Marans49,Marans,2,896,2240,Brown,43.01,114,1,Single,8,Continental,White,White,NULL,Blue
Marans49,Marans,3,896,2240,Brown,43.01,114,1,Single,8,Continental,White,White,NULL,Blue
Marans49,Marans,4,896,2240,Brown,43.01,114,1,Single,8,Continental,White,White,NULL,Blue
Marans49,Marans,5,896,2240,Brown,43.01,114,1,Single,8,Continental,White,White,NULL,Blue
Marans50,Marans,1,769,2690,Brown,42.61,110,1,Single,9,Continental,White,White,NULL,Blue
Marans50,Marans,2,769,2690,Brown,42.61,110,1,Single,9,Continental,White,White,NULL,Blue
Marans50,Marans,3,769,2690,Brown,42.61,110,1,Single,9,Continental,White,White,NULL,Blue
Marans50,Marans,4,769,2690,Brown,42.61,110,1,Single,9,Continental,White,White,NULL,Blue
Marans50,Marans,5,769,2690,Brown,42.61,110,1,Single,9,Continental,White,White,NULL,Blue
Marans51,Marans,1,913,2330,Brown,40.57,113,1,Single,10,Continental,White,White,NULL,Blue
Marans51,Marans,2,913,2330,Brown,40.57,113,1,Single,10,Continental,White,White,NULL,Blue
Marans51,Marans,3,913,2330,Brown,40.57,113,1,Single,10,Continental,White,White,NULL,Blue
Marans51,Marans,4,913,2330,Brown,40.57,113,1,Single,10,Continental,White,White,NULL,Blue
Marans51,Marans,5,913,2330,Brown,40.57,113,1,Single,10,Continental,White,White,NULL,Blue
Marans52,Marans,1,84,2280,Brown,31.8,115,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans52,Marans,2,84,2280,Brown,31.8,115,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans52,Marans,3,84,2280,Brown,31.8,115,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans52,Marans,4,84,2280,Brown,31.8,115,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans52,Marans,5,84,2280,Brown,31.8,115,1,Single,7,Continental,White,White,NULL,Blue Copper
Marans53,Marans,1,660,2640,Brown,39.02,124,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans53,Marans,2,660,2640,Brown,39.02,124,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans53,Marans,3,660,2640,Brown,39.02,124,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans53,Marans,4,660,2640,Brown,39.02,124,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans53,Marans,5,660,2640,Brown,39.02,124,1,Single,8,Continental,White,White,NULL,Blue Copper
Marans54,Marans,1,491,2170,Brown,40.74,116,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans54,Marans,2,491,2170,Brown,40.74,116,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans54,Marans,3,491,2170,Brown,40.74,116,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans54,Marans,4,491,2170,Brown,40.74,116,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans54,Marans,5,491,2170,Brown,40.74,116,1,Single,9,Continental,White,White,NULL,Splash Copper
Marans55,Marans,1,699,2790,Brown,47,126,1,Single,10,Continental,White,White,NULL,Blue
Marans55,Marans,2,699,2790,Brown,47,126,1,Single,10,Continental,White,White,NULL,Blue
Marans55,Marans,3,699,2790,Brown,47,126,1,Single,10,Continental,White,White,NULL,Blue
Marans55,Marans,4,699,2790,Brown,47,126,1,Single,10,Continental,White,White,NULL,Blue
